benchmark,affinity,intercept,slope,exec_time,command,runtime
a2time-4K,A53,0.2476346997481329,0.24972325373912874,0.003066316107025056,./a2time-4K -v0 -c1 -i100,1.7175152745160809
a2time-4K,A72,0.15908029782206246,1.0505038527520547,0.001785321011418083,./a2time-4K -v0 -c1 -i100,1.0
a2time-4M,A53,1.3782962421469795,0.35241156923866573,3.1151098020833334,./a2time-4M -v0 -c1 -i100,1.70075969704444
a2time-4M,A72,1.627796292441822,1.142446544783514,1.8315990245398772,./a2time-4M -v0 -c1 -i100,1.0
aifirf-4K,A53,0.19963954304863663,0.2632852733690904,0.03145428025210085,./aifirf-4K -v0 -c1 -i100,2.769942895721839
aifirf-4K,A72,0.13964385989893024,1.4678761465333041,0.011355569929142512,./aifirf-4K -v0 -c1 -i100,1.0
aifirf-4M,A53,0.9496703835860236,0.36796263142537367,3.2135392473118283,./aifirf-4M -v0 -c1 -i10,2.812094481468124
aifirf-4M,A72,1.0822298032629174,1.7229855953111368,1.1427565,./aifirf-4M -v0 -c1 -i10,1.0
bitmnp-4K,A53,0.2110548830954544,0.2202160897805022,0.008500934701757374,./bitmnp-4K -v0 -c1 -i100,2.0814754416689323
bitmnp-4K,A72,0.2228277105969223,0.7441056086603632,0.004084090800005454,./bitmnp-4K -v0 -c1 -i100,1.0
bitmnp-4M,A53,1.202637172383569,0.2925454420827374,10.158234103448276,./bitmnp-4M -v0 -c1 -i100,2.1995004686057267
bitmnp-4M,A72,1.3116924335644953,0.8810579510664649,4.618427796875,./bitmnp-4M -v0 -c1 -i100,1.0
canrdr-4K,A53,0.1606655111173918,0.3721560685005431,0.002993205057526366,./canrdr-4K -v0 -c1 -i100,1.8838663332438876
canrdr-4K,A72,0.29483541854898476,1.0818332458759352,0.0015888627577797805,./canrdr-4K -v0 -c1 -i100,1.0
canrdr-4M,A53,1.360403835101823,0.41491806874643117,2.811007745283019,./canrdr-4M -v0 -c1 -i100,1.9148776384850916
canrdr-4M,A72,1.5866328796525693,1.3203872798977994,1.4679829607843133,./canrdr-4M -v0 -c1 -i100,1.0
idctrn-4K,A53,0.22532774885982398,0.27601942044330957,0.014354707861936723,./idctrn-4K -v0 -c1 -i100,2.9141874001019805
idctrn-4K,A72,0.18667442609561924,1.5091972932995956,0.004925801223845243,./idctrn-4K -v0 -c1 -i100,1.0
idctrn-4M,A53,1.1517181389720026,0.3536776687146732,14.575859150000001,./idctrn-4M -v0 -c1 -i100,2.9870597015374645
idctrn-4M,A72,1.2741246873310423,1.6805007561794163,4.8796678360655745,./idctrn-4M -v0 -c1 -i100,1.0
iirflt-4K,A53,0.20613757744566463,0.2467029096159461,0.01211631309374621,./iirflt-4K -v0 -c1 -i100,2.8630514376590215
iirflt-4K,A72,0.29871867138229646,1.3097385946926767,0.004231957880453986,./iirflt-4K -v0 -c1 -i100,1.0
iirflt-4M,A53,1.1974815675990076,0.3165004134693807,12.153000958333333,./iirflt-4M -v0 -c1 -i100,2.2888220062165474
iirflt-4M,A72,1.4311409769043966,1.4667992273387576,5.3097186785714285,./iirflt-4M -v0 -c1 -i100,1.0
matrix-4K,A53,0.2171453969626338,0.34604778739217945,0.02481476231884058,./matrix-4K -v0 -c1 -i100,2.618658699591849
matrix-4K,A72,0.9018167543654076,1.3037322942476282,0.009476134603836794,./matrix-4K -v0 -c1 -i100,1.0
matrix-4M,A53,0.6491392956255408,0.512836061363552,6.774810590909091,./matrix-4M -v0 -c1 -i100,2.8272352845944857
matrix-4M,A72,0.9871269137013279,1.9204293396101288,2.396266991935484,./matrix-4M -v0 -c1 -i100,1.0
pntrch-4K,A53,0.22670256425152502,0.26390370274026714,0.35791901674641147,./pntrch-4K -v0 -c1 -i100,2.769855471506088
pntrch-4K,A72,0.38531340943519865,1.2498996985359554,0.12921938362068966,./pntrch-4K -v0 -c1 -i100,1.0
pntrch-4M,A53,0.43954948987586295,0.4137540761596208,3.7025677874999996,./pntrch-4M -v0 -c1 -i1,2.931481622620875
pntrch-4M,A72,0.740877751927389,1.5876272330254544,1.263036329113924,./pntrch-4M -v0 -c1 -i1,1.0
puwmod-4K,A53,0.2543404557478919,0.3186729670708705,0.00534474564472369,./puwmod-4K -v0 -c1 -i100,1.9198317916863366
puwmod-4K,A72,0.23780799626070426,1.1902371682446802,0.0027839655890003713,./puwmod-4K -v0 -c1 -i100,1.0
puwmod-4M,A53,1.3576739744676312,0.36463380126837325,5.254353140350878,./puwmod-4M -v0 -c1 -i100,1.9659024059212475
puwmod-4M,A72,1.5298611285612296,1.3890882841381504,2.672743633928572,./puwmod-4M -v0 -c1 -i100,1.0
